legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2129,R2129,PACIFIC PLASTICS,C000126,SCB,,,240,1000,260 x 160
R2130,R2130,APP,C000024,SPP,,Plugall on short side,240,1500,106 x 95
R2131,R2131,APP,C000024,SPP,,"Top plate odd shape 5/8"" T/C Hole on bend",240,750,125+206X136
R2132,R2132,APP,C000024,SPP,,Bottom plate odd shape no hole,240,750,330/140X136
R2133,R2133,VINIDEX - WAGGA WAGGA,C000209,SCB,,"Std Hx Plugall @90Deg,1/2"" T/C @270Deg W M14.1 Nut",240,1400,330/140X136
R2134,R2134,VINIDEX - WAGGA WAGGA,C000209,SCB,,"Quick Release Clamp,Plug @90Deg,1/2"" T/C @270Deg",240,400,85 x 260
R2135,R2135,VINIDEX - WAGGA WAGGA,C000209,SCB,,"Quick Release Clamp,Plug @90Deg,1/2"" T/C @270Deg",240,1400,85 x 55
R2136,R2136,SURETECO,C000178,SPP,,"4x1/4"" Bolt Holes 9/16 T/C Hole on short side",240,1200,369 x 35
R2137,R2137,SURETECO,C000178,SCB,,"Plug @90Deg, 9/16"" T/C @180Deg",240,500,210 x 180
R2138,R2138,SURETECO,C000178,CKB,,3 Holes,240,1800,81 x 58
R2139,R2139,APP,C000024,SCB,,"2x32mm T/C Holes@90Deg & 270Deg,1/2"" T/C 25mm from 90Deg",240,3000,120 x 88
R2140,R2140,VINIDEX - COOPERS PLAINS,C000202,SCKB,,,240,5200,250 x 140
R2141,R2141,PCA,C000129,SCB,,Standard Heatrex Plugall 20mm TC Hole,240,1100,D730mm x W171mm S/L1140mm
R2142,R2142,APP,C000024,IBH,,2M LEADS TAPPER LOCK ROLLEPAL,240,650,D145mm x W80mm
R2143,R2143,APP,C000024,SCB,,"STD HX PLUGALL 1""DOUBLE SLOT ROLLEPAL",240,2600,130 x 50
R2144,R2144,APP,C000024,SCB,,STD HX PLUGALL 2 X 32MM HOLE 1 X 3/4 HOLE ROLLEPAL,240,1750,460 x 80
R2145,R2145,ACACIA PRODUCTS,C000002,SCB,,"40mm Clamp Gap,Plug@180Deg ",240,2000,460 x 65
R2146,R2146,ISTRA ELEMENTS,C000094,SCB,,2Mtr Leads 130mm from end 25 from side,240,1100,270 x 80
R2147,R2147,ISTRA ELEMENTS,C000094,SCB,,2Mtr Leads 130mm from end 25 from side,240,1100,115 x 100
R2148,R2148,IPLEX - HEAD OFFICE,C000090,SSCB,,3x40mm Holes 55mm long Layflat to LONG end,240,2200,115 x 100
R2149,R2149,IPLEX - HEAD OFFICE,C000090,SSCB,,4x40mm Holes 55mm long Layflat to SHORT end,240,2200,565X110 S/L870
R2150,R2150,VINIDEX - HEAD OFFICE,C000201,CKB,,,240/415,7500,565X110 S/L870
R2151,R2151,ACACIA PRODUCTS,C000002,SCB,,40mm Clamo Gap Plu@180Deg,240,1000,265 x 241
R2152,R2152,VINIDEX - PERTH,C000200,SSCB,,Plugall 50 from end ,240,3000,165 x 65
R2153,R2153,VINIDEX - PERTH,C000200,SSCB,,Plugall 50 from end 32mm T/C Hole in centre,240,3000,690X140 S/L1065
R2154,R2154,VINIDEX - PERTH,C000200,SPP,,"6x7/16"" Bolt holes 3/4"" T/C Hole Plugall",240,400,690X130 S/L1065
R2155,R2155,TUSCAN INDUSTRIES,C000194,SCB,,Plugall @180Deg,240,1500,215 x 65
R2156,R2156,MILANO PLASTICS,C000112,SSCB,,,240,2000,153 x 120
R2157,R2157,PROFILE PLASTIC EXTRUSIONS,C000153,SCB,,"Double1/2"" T/C Hole @180Deg Plugall 180Deg",240,900,283x120 S/L712
R2158,R2158,ISTRA ELEMENTS,C000094,SCB,,500mm Leads@180Deg,240,500,57 x 150
R2159,R2159,ISTRA ELEMENTS,C000094,MICA,,Sheath supplied Dia 254X72 element only @180deg across top,240,350,190 x 28
R2160,R2160,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,"Plugal @90Deg 35 from edge, 1"" T/C Hole @180Deg 15/1835",240,2700,145 x 72
R2161,R2161,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,"Plug @180Deg 2x3/4"" Holes @90Deg & 1x3/4"" Hole 110from end 10-3702",240,2000,295 x 120
R2162,R2162,APP,C000024,RAPP,,Plugall on 200 leg,240,525,150 x 125
R2163,R2163,TRUCKMATE,C000192,SCB,,500mm Leads @180Deg,240,900,200+120X50
R2164,R2164,VINIDEX - PERTH,C000200,SCB,,32mm T/C Hole @90Deg Plug @180Deg,240,3600,200 x 75
R2165,R2165,PREFORMED LINE PRODUCTS,C000147,SCB,,Plugall @180Deg,240,250,512 x 240
R2166,R2166,ISTRA ELEMENTS,C000094,SCB,,35mm Clamp Gap Plugall 60mm from end,240,500,65 x 50
R2167,R2167,VPI BUILDING,C000062,SCB,,"1""T/C @90Deg Plugall @180Deg",240,3200,140 x 35
R2168,R2168,VPI BUILDING,C000062,SCB,,"1""T/C @90Deg Plugall @180Deg",240,2200,320 x 115
R2169,R2169,VPI BUILDING,C000062,SCB,,"1""T/C @90Deg Plugall @180Deg",240,2200,290 x 70
R2170,R2170,VPI BUILDING,C000062,SCB,,Plugall @180Deg,240,3000,260 x 80
R2171,R2171,APP,C000024,SPP,,"Leads offset 1"" T/C Hole 115 from end",240,1250,240 x 180
R2172,R2172,AUSTRALIAN FILM & PIPE,C000030,SCB,,"1.5Mtr Lead @180Deg 2x1"" Hole 30 from edge",240,525,280X163 S/L375
R2173,R2173,APP,C000024,SCB,,STD HEATREX PLUGALL 2 X 32MM HOLES1 X3/4 HOLE ROLLEPAL,240,2800,120 x 65
R2174,R2174,POLYPIPE,C000141,SCKB,,"32mm Hole,Double Slot 32mm Hole Ceramic Termination",240/415,5250,460 x 100
R2175,R2175,POLYPIPE,C000141,CKB,,,240/415,5000,610X345 S/L940
R2176,R2176,IPLEX - HEAD OFFICE,C000090,SCB,,Band has 2 complete elements inside with 2 Euro Plugs 2 x 32mm holes 1 x 40mm hole ,2X240,2 x 1750,610 x 110
R2177,R2177,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"Plugall 35mm from edge @90Deg, 7/8"" T/C Hole @270Deg",240,1850,D370mm x W150mm 
R2178,R2178,TRUCKMATE,C000192,SCB,,500mm Leads @ 180Deg,240,1200,170 x 100
R2179,R2179,VINIDEX - PERTH,C000200,CKB,,Layflat Plugall @180Deg,240,2500,170 x 82
R2180,R2180,TRUCKMATE,C000192,SCB,,1.5Mtr Leads @90deg 30mm Clamp Gap,240,2000,220 x 120
R2181,R2181,ALDRIDGE TRAFFIC SYSTEMS,C000015,SCB,,Screw Terminals Opposite Clamp Gap 35x35 Cut Out,415,2200,210 x 90
R2182,R2182,ALDRIDGE TRAFFIC SYSTEMS,C000015,SCB,,Screw Terminals Opposite Clamp Gap ,415,2200,244 x 90
R2183,R2183,APERIO GROUP,C000022,SSCB,,2 Way terminal block in housing,240,800,244 x 90
R2184,R2184,APP,C000024,SSCB,,STD HEATREX PLUGALL SPECIAL PIVOT SPACING ROLLEPAL,240,1200,200X60 S/L425
R2184A,R2184A,APP,C000024,SSCB,,800mm LEADS WITH ARMOUR FLEX,240,1200,460X70 S/L600
R2185,R2185,TURNKEY ELECTRICAL,C000193,SCB,,Screw Terminals,240,850,460X70 S/L600
R2186,R2186,APP,C000024,SSCB,,"3x32mm Cut Outs,75mm Cut Out,2x32mm T/C Holes,HX Cer Term",240,5100,90 x 90
R2187,R2187,APP,C000024,SSCB,,AS ABOVE plus 120mm x 100mm hole,240,5100,620X200 S/L960
R2188,R2188,APP,C000024,SSCB,,"100mm Cut Out,2 x 32mm T/C Hole, HX Cer Term Stainless box heavy",240,4000,620X200 S/L960
R2189,R2189,APP,C000024,SSCB,,AS ABOVE plus 160mm x 100mm Square  hole  3000WATTS 24/7/17,240,4000,620X140 S/L960
R2190,R2190,APP,C000024,SSCB,,32mm T/C Hole HX Cer Term,240,2500,620X140 S/L960
R2191,R2191,APP,C000024,SSCB,,AS ABOVE,240,2500,620X110 S/L960
